case,location,fatalities,injured,total_victims,place,age_of_shooter,race,gender,type,year
Michigan State University shooting,"East Lansing, Michigan",3,5,8,School,43,Black,M,Mass,2023
Half Moon Bay spree shooting,"Half Moon Bay, California",7,1,8,workplace,67,Asian,M,Spree,2023
LA dance studio mass shooting,"Monterey Park, California",11,10,21,Other,72,Asian,M,Mass,2023
Virginia Walmart shooting,"Chesapeake, Virginia",6,6,12,Workplace,31,Black,M,Mass,2022
LGBTQ club shooting,"Colorado Springs, Colorado",5,25,30,Other,22,White,M,Mass,2022
University of Virginia shooting,"Charlottesville, Virginia",3,2,5,School,22,Black,M,Mass,2022
Raleigh spree shooting,"Hedingham, North Carolina",5,2,7,Other,15,White,M,Spree,2022
Greenwood Park Mall shooting,"Greenwood, Indiana",3,2,5,workplace,20,White,M,Mass,2022
Highland Park July 4 parade shooting,"Highland Park, Illinois",7,46,53,Other,21,White,M,Mass,2022
Church potluck dinner shooting,"Birmingham, Alabama",3,0,3,religious,70,White,M,Mass,2022
Concrete company shooting,"Smithsburg, Maryland",3,1,4,workplace,23,Other,M,Mass,2022
Robb Elementary School massacre,"Uvalde, Texas",21,17,38,School,18,Latino,M,Mass,2022
Buffalo supermarket massacre,"Buffalo, New York",10,3,13,workplace,18,White,M,Mass,2022
Oxford High School shooting,"Oxford, Michigan",4,7,11,School,15,Other,M,Mass,2021
San Jose VTA shooting,"San Jose, California",9,0,9,Workplace,57,Other,M,Mass,2021
FedEx warehouse shooting,"Indianapolis, Indiana",8,7,15,Workplace,19,White,M,Mass,2021
Orange office complex shooting,"Orange, California",4,1,5,Workplace,44,Other,M,Mass,2021
Boulder supermarket shooting,"Boulder, Colorado",10,0,10,Workplace,21,Other,M,Mass,2021
Atlanta massage parlor shootings,"Atlanta, Georgia",8,1,9,Workplace,21,White,M,Spree,2021
Springfield convenience store shooting,"Springfield, Missouri",4,0,4,Workplace,31,Other,M,Mass,2020
Molson Coors shooting,"Milwaukee, Wisconsin",5,0,5,Workplace,51,Black,M,Mass,2020
Pensacola Naval base shooting,"Pensacola, Florida",3,8,11,Military,21,Other,M,Mass,2019
OdessaUnknownMidland shooting spree,"Odessa, Texas",7,25,32,Other,36,White,M,Spree,2019
Dayton entertainment district shooting,"Dayton, Ohio",9,27,36,Other,24,White,M,Mass,2019
El Paso Walmart mass shooting,"El Paso, Texas",22,26,48,Workplace,21,White,M,Mass,2019
Gilroy garlic festival shooting,"Gilroy, California",3,12,15,Other,19,Other,M,Mass,2019
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",12,4,16,Workplace,40,Black,M,Mass,2019
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",5,6,11,Workplace,45,Black,M,Mass,2019
Pennsylvania hotel bar shooting,"State College, Pennsylvania",3,1,4,Other,21,White,M,Spree,2019
